func_id,runtime,location,arrival_time
493,26.32495461474647,centralus,1302
16465,50.23814393247662,southcenralus,803
9337,493.66517849105253,swedencentral,1236
15381,191.87229444308662,swedencentral,1141
18,627.3636531017021,eastus2,717
45417,292.2005092290107,southcenralus,1102
18,1433.1865258157882,eastus2,809
19943,163.4878992404513,southcenralus,738
9811,8.212848843283632,eastus2,585
1184,81.42022153583397,southcenralus,919
24236,31.581360241674407,swedencentral,879
460,1.5209907822180102,eastus2,1385
903,37.58293290897063,swedencentral,1317
18,2073.1505488037465,southcenralus,1314
45417,329.2104077820764,eastus2,103
18,2347.081309637961,southcenralus,844
15829,88.04753340446074,southcenralus,435
15536,261.0748269900644,southcenralus,1183
493,25.686689396221134,eastus2,512
41,40.65902999359673,centralus,1091
45417,273.3786726436505,eastus2,1119
45417,263.24909265938186,centralus,139
12387,648.3937640696298,eastus2,1241
45417,278.72142043642106,eastus2,170
18,1155.3122994165624,swedencentral,803
460,2.0,swedencentral,1373
45519,32.13815486519408,centralus,859
45417,399.41400417708496,eastus2,998
9360,482.8863122975603,centralus,483
31308,61.07458116656869,centralus,247
18,1711.7660860508438,centralus,1356
31386,3.672610582757226,eastus2,794
18,1727.1274897678213,southcenralus,814
45416,270.63700874539416,southcenralus,572
31203,609.6887130451852,southcenralus,711
18,1987.6481186531057,southcenralus,707
16962,0.0,southcenralus,1417
18,2030.0479788824173,swedencentral,1415
493,29.74171522415194,swedencentral,885
61,22.60814154808032,southcenralus,175
366,1378.4065236258043,eastus2,926
18,1963.2486335313467,southcenralus,1201
15978,84.82452902264912,swedencentral,1293
45417,403.641225917427,swedencentral,902
460,1.2194984081814275,centralus,1329
45417,283.0963551575273,eastus2,1247
9522,2212.1390541412566,swedencentral,667
15577,264.0432617166761,eastus2,201
31878,173.3963675292888,centralus,949
9,240.9423743629905,centralus,269
18,1796.8292200428862,centralus,1246
45698,150.74467542320616,swedencentral,1239
43,43.11856307456244,swedencentral,458
903,31.599560345270266,southcenralus,944
18,2017.1473021490515,eastus2,84
460,15.487017876485641,swedencentral,1248
45417,297.0159992718792,eastus2,141
45417,294.8002700215417,swedencentral,550
16996,136.7223001235949,centralus,292
15536,763.8974470677601,swedencentral,1206
903,56.5507627339514,swedencentral,343
45417,275.10546990751965,southcenralus,651
2849,30.96891541051097,swedencentral,1000
45417,265.43125851046926,centralus,1153
554,35.56035087133177,swedencentral,1144
52011,436.57920786591404,centralus,1389
31350,183.40242187582382,eastus2,1224
15886,24.859182059398403,eastus2,1031
24206,56.03687683660097,southcenralus,584
15536,267.50299514790095,centralus,364
9,250.57214198220663,southcenralus,620
9,449.0588092804107,centralus,535
460,2.6532246071016488,eastus2,254
18,1538.4292632517179,southcenralus,717
61,79.22227215705666,eastus2,1144
31386,3.057618786383553,centralus,574
9,251.73332832390395,southcenralus,1114
16169,31.54968959978736,swedencentral,549
1568,25760.98880948339,eastus2,230
33426,91.84457950671818,swedencentral,1150
493,25.819235845171903,eastus2,828
45740,44.13319213385583,southcenralus,844
15381,195.4543703751977,southcenralus,832
493,25.089488513250117,eastus2,46
18,1755.5794150525735,centralus,299
18486,1565.6211834814046,eastus2,1120
184,64.64582597862957,swedencentral,822
535,12.76789401172888,southcenralus,1395
18,2534.41641426483,swedencentral,343
9,201.18588690353624,eastus2,698
493,23.631950027374227,southcenralus,819
9333,1057.4568499007137,southcenralus,1226
18,1207.5141647126432,eastus2,905
15495,83.27618120105197,swedencentral,579
9,1271.2972000627378,centralus,418
16204,72.96441662433921,southcenralus,104
18,1413.4865417475746,swedencentral,369
