func_id,runtime,location,arrival_time
18,1835.9928912057778,southcentralus,500
9,287.2940355506203,centralus,278
45417,365.4554891359143,swedencentral,957
15906,20.66681200457648,centralus,830
31418,99.19760206883714,centralus,825
31387,16.0,swedencentral,196
267,237.59995155637665,southcentralus,1224
33426,154.57739093936988,swedencentral,280
493,31.745267630318633,swedencentral,330
24204,15.58698051150319,eastus2,519
31387,16.803260163258354,centralus,791
61,11.786713212655096,southcentralus,1111
15379,18.41435582805713,swedencentral,1035
17,1284.672279366369,swedencentral,596
17,1389.4907123284486,centralus,439
24045,11457.886734594491,centralus,1306
9,263.6316519156318,swedencentral,59
31455,397.50031274674393,centralus,801
35701,870.9946206252548,centralus,317
17,2019.8992307289175,southcentralus,741
18,1317.8977197452766,centralus,295
33037,194.93279517003927,southcentralus,456
45417,271.5233405582859,southcentralus,761
24205,19.122534366674078,centralus,1017
18,1700.5706561935274,centralus,710
45667,2.588793476403419,eastus2,447
36573,2.405730021487269,centralus,306
16660,6.666952779472184,swedencentral,364
18,1339.7953894029517,eastus2,1270
31365,216.53849414623036,swedencentral,876
15381,456.24219263598735,southcentralus,254
18,2132.5131187399206,swedencentral,464
31377,38.59988643734189,southcentralus,53
45417,269.29095107109623,southcentralus,528
32554,139.8433393707955,swedencentral,1138
493,25.039660764149257,centralus,140
18,1547.393763146845,centralus,768
45414,4640.915651639981,southcentralus,1
36299,9.19354850225328,centralus,156
49777,51.52417423277597,swedencentral,1393
45824,238.2560180311361,eastus2,1081
18,1757.049953901545,centralus,1331
33165,150.62878731080409,eastus2,728
903,32.94295186907844,centralus,963
24447,53.96589899076062,centralus,292
18,2412.667552872554,centralus,984
9780,73.96717441478341,southcentralus,424
18,1838.6734364367449,eastus2,295
24204,20.001834359501025,eastus2,59
24204,22.087553105459836,eastus2,942
9,255.18955592363415,swedencentral,855
9,265.7715820219257,centralus,129
33434,1.0,southcentralus,526
9295,33.296709123270915,swedencentral,310
18,1584.0890720226073,southcentralus,1089
31278,245.40514622523477,swedencentral,162
9781,3066.7918151651775,centralus,445
49777,43.536583126133316,centralus,1218
31441,1.4762347197758587,centralus,1060
16064,454.4739925030831,swedencentral,1223
49777,64.25096272803736,eastus2,513
45417,282.26654728072674,eastus2,904
9634,98.1427099035224,eastus2,89
47809,953.0,swedencentral,61
45661,16.726857307824734,centralus,1327
31800,144.74793033998105,centralus,1179
15605,2183.4089461623453,southcentralus,1133
33122,147.87292546185574,centralus,289
32324,31.267350970529712,eastus2,242
2112,27.769046786697203,centralus,1438
46006,42.0,centralus,9
45417,283.4963800891698,centralus,1103
9811,10.881344326752682,centralus,1227
18,1242.347104413611,swedencentral,648
15379,19.171947828143253,swedencentral,810
17842,2.162636301594429,eastus2,1363
18,1579.8927809734234,eastus2,542
15495,95.82228561414625,centralus,1317
18,2649.630649016466,centralus,858
45594,30.46242561844448,eastus2,643
18,2864.334169055486,swedencentral,644
9,301.87776614988525,southcentralus,245
45698,185.97551077239714,eastus2,22
43,36.87116531296933,centralus,214
9309,25600.627836971642,southcentralus,13
252,502.55416771058145,swedencentral,862
9,220.52794836380252,centralus,1064
45667,4.508055213775682,swedencentral,689
61,31.716398031340695,swedencentral,1005
56635,607.1755296488253,swedencentral,631
903,31.99863513082535,eastus2,1272
31800,53.96118157492528,centralus,919
43,36.819312642312745,eastus2,96
43,64.10504330432833,swedencentral,1367
24204,22.59170557564472,southcentralus,95
846,144.63669253017576,swedencentral,1271
31387,14.91943953412358,centralus,221
31879,85.38237955231313,centralus,789
45417,296.18278398682156,swedencentral,327
84,9.53934870857941,southcentralus,823
16753,0.0,southcentralus,948
45417,279.00986989971113,southcentralus,356
45417,284.0176124240068,southcentralus,887
24128,2.531666966664828,eastus2,1008
61,16.73343441798096,eastus2,1319
19072,2.0,eastus2,664
530,0.0,swedencentral,1179
46491,147.95654310263686,eastus2,1300
31879,83.67634605308987,swedencentral,634
68695,160.6364188739795,eastus2,1123
33122,148.40675110010832,swedencentral,647
15381,421.0009705842651,centralus,968
9,273.5118569665324,eastus2,462
45417,272.98971219889023,eastus2,1155
18,1103.4766974958065,swedencentral,690
33037,180.83545556490841,southcentralus,133
33584,8.654831251384463,centralus,649
9781,1336.8524590126146,eastus2,432
45785,1124.7467320702613,eastus2,1334
47428,8.558847736142697,southcentralus,319
15387,0.24511805768009703,southcentralus,346
18,1505.7831323232608,southcentralus,1052
12533,145.372815965905,swedencentral,922
9,212.29764998234344,eastus2,1312
15495,90.85537828910375,eastus2,144
18,1360.378503731022,centralus,1373
17,1348.97336330415,eastus2,852
18,1758.9966964154044,eastus2,1250
19072,2.0020738582765802,swedencentral,628
45594,30.773122599591193,centralus,1070
493,24.654688872475766,centralus,165
24239,0.31116115918963516,eastus2,1146
46460,53.214656250419125,swedencentral,816
31386,2.146913930974202,eastus2,589
31149,162.47383205872887,centralus,1074
17,1263.2190445273384,eastus2,845
18,1782.5961846977127,swedencentral,1043
33426,65.2983146362207,southcentralus,130
9780,648.9197271521733,eastus2,404
45414,62181.49417748639,southcentralus,1162
45417,283.83156127218973,southcentralus,847
17,1379.1164179921047,eastus2,523
1223,7.434931235494247,southcentralus,168
45594,10.531265740901247,centralus,54
300,22.962642692129233,eastus2,506
9,204.33291637609273,eastus2,589
493,26.038941462427697,swedencentral,103
18,1538.9788490583496,centralus,607
31386,3.2691441157168404,swedencentral,215
10618,10.538762946774028,eastus2,657
460,1.0,centralus,1186
25974,4743.642366234401,southcentralus,603
31225,1525.089913962068,swedencentral,1224
61953,768.8477093909754,eastus2,1260
31149,249.3011268727452,swedencentral,78
1099,3305.9167017022137,centralus,672
10397,12.665645908448257,southcentralus,1118
24204,67.73500685726418,centralus,892
49777,54.068902302085995,southcentralus,429
15906,17.257681695121693,eastus2,822
31386,2.1975638053071735,eastus2,108
45416,266.6640349522379,southcentralus,1030
18,1160.5877799850673,eastus2,1416
18,1519.7883675756364,southcentralus,1130
31878,223.01444963775106,eastus2,429
61,22.536413961889032,southcentralus,972
45417,274.48351038529825,centralus,1097
45417,281.18589598383284,swedencentral,120
31386,4.707872777238532,southcentralus,1041
31200,146.9358614003097,centralus,37
16916,16.66093557458695,swedencentral,920
31149,142.94080078503458,swedencentral,1165
45667,2.0,southcentralus,1348
31466,33.53116814838275,southcentralus,317
17,1286.6372541483054,southcentralus,407
31367,241.67262121442542,eastus2,1194
33843,143.4789108538887,centralus,818
18,2100.7603126333374,swedencentral,960
903,105.65072322230033,swedencentral,1141
33426,221.46468094073393,eastus2,7
9,240.1380009217159,eastus2,947
45667,2.0,southcentralus,1182
903,35.93112654596941,centralus,1157
31800,202.23648678370412,eastus2,779
18,1623.1896411158855,southcentralus,1431
18,2094.5047926832463,centralus,188
15906,37.133607914174384,eastus2,754
15599,270.2758305564778,swedencentral,1314
18,1776.7944354782876,southcentralus,31
18,2312.6102691832834,eastus2,831
33568,113.05469976135373,centralus,21
45417,284.2137828370276,swedencentral,448
5912,285.8487818307667,centralus,129
33434,5.30876646512282,southcentralus,678
45416,281.03797697262894,southcentralus,882
18,1087.7825776333132,southcentralus,1000
18,2103.5737865314586,swedencentral,1322
18,1601.3488592354017,swedencentral,1397
45661,41.194781999721236,centralus,386
18,11320.579726024029,swedencentral,976
18,1636.031102706655,centralus,77
18,1625.257571023063,southcentralus,1403
41,35.38095157006846,southcentralus,1249
1951,1.9888454102031143,southcentralus,614
45416,276.5349425327454,centralus,814
58837,5138.714023764317,centralus,391
45473,2710.6504984753956,southcentralus,229
300,22.75808848743285,centralus,1287
45417,284.7884680600913,swedencentral,597
31386,3.106943402425348,eastus2,437
396,1.0,swedencentral,1289
31386,7.6439403505795935,southcentralus,253
33036,36.326806402605705,southcentralus,1418
31200,163.48474851562435,centralus,1190
903,34.15010340329775,centralus,83
903,21.916705796498704,centralus,518
1099,3012.0418865812435,eastus2,850
87,1.0,centralus,230
32425,14.262898048193218,swedencentral,69
18,2512.415383395597,southcentralus,1206
18,2213.588372208486,southcentralus,966
18,1806.2782112502557,swedencentral,376
16869,0.0,swedencentral,1341
33434,1.0,centralus,632
33426,163.4423788768816,southcentralus,1328
493,25.348657842141968,eastus2,1331
31878,168.35074455981643,swedencentral,1312
31365,279.79251060710897,swedencentral,909
15424,39.28981504493759,swedencentral,651
17,1334.2788242628721,southcentralus,568
45417,275.97734812816856,centralus,301
9781,4736.5004095351605,swedencentral,528
15881,316.5242709632979,eastus2,541
9358,237.3979980129549,centralus,266
24203,1.554234400472958,centralus,1363
17,1309.144705106043,southcentralus,235
493,20.318316094865303,southcentralus,44
45472,817.4182147809431,swedencentral,564
18,1182.4522281123025,southcentralus,1103
45393,6344.673461190401,swedencentral,352
9,272.1413006736888,eastus2,772
49777,272.9808743791718,centralus,291
31386,3.1455465259503717,southcentralus,8
1225,209.302818135727,centralus,100
18,1608.5309387450457,swedencentral,1225
15362,747.6494324400303,centralus,459
9,360.56578161401717,swedencentral,639
15906,42.35129829626913,swedencentral,1107
31149,1420.1306763026375,eastus2,809
31159,31.975451627303144,centralus,149
2843,4.047305460974306,centralus,230
31387,14.038423259918863,southcentralus,1332
17,1326.0289873109919,eastus2,357
31200,170.32774220044985,swedencentral,1002
33426,128.22342879115115,swedencentral,549
45417,273.019479632216,swedencentral,126
45417,276.96665111355793,southcentralus,724
45417,267.9830391240731,centralus,92
18293,29.378517112586433,eastus2,426
45417,272.67599048060674,centralus,113
12533,177.29344083692652,eastus2,558
17,1281.767452529625,centralus,354
1223,7.93165589157705,swedencentral,1135
9,219.30932613469088,southcentralus,522
17,1251.8317565449304,swedencentral,552
18,1521.0504907497302,southcentralus,90
24205,23.512707142521606,eastus2,484
31570,23.767319921209044,swedencentral,716
45417,270.1498753346295,southcentralus,211
9780,46.702783448226604,centralus,318
23999,905.1716400723916,southcentralus,8
40112,215.99291615906895,swedencentral,36
9310,75.33327688223424,southcentralus,1315
45455,21.24370408235821,southcentralus,148
45417,274.4175199850735,swedencentral,250
10098,6.495161431876756,eastus2,401
49777,85.71256292002515,centralus,14
46241,0.0,eastus2,1331
375,34.32803778347592,southcentralus,1056
45472,570.3982197252973,eastus2,52
24204,23.998359852981665,southcentralus,200
18,1839.3546070454365,eastus2,1416
45636,6.051381005370774,southcentralus,906
18710,369.51657633957353,southcentralus,101
31386,4.477454661031979,eastus2,1425
17,1287.1116562232453,swedencentral,716
31387,16.591906631610755,centralus,562
201,13.914613237129897,eastus2,124
9332,369.5439843162163,centralus,964
49777,65.3712347272915,eastus2,791
49777,28.94746818889752,eastus2,1064
24201,0.0,swedencentral,505
61,27.664042658920682,swedencentral,1186
9,226.5365505795096,eastus2,91
45594,16.518211134012972,swedencentral,316
31386,4.703289329231788,centralus,758
31386,5.969499417814906,southcentralus,705
460,2.0,centralus,51
31386,3.5315773722219492,eastus2,900
1951,1.4495474440628404,centralus,1396
35919,520.2173665812747,southcentralus,662
9,268.3181825041142,southcentralus,961
45417,278.4323230803414,swedencentral,16
18,2139.7690140384075,southcentralus,585
903,27.242606648060235,eastus2,1032
903,232.64395336038524,centralus,712
49921,254.97559551797852,southcentralus,9
31386,3.4344283091222505,southcentralus,1042
15815,53.502697206233556,swedencentral,946
45417,283.0038642250786,southcentralus,1400
45417,380.6001368622837,swedencentral,895
31308,86.97229556117549,southcentralus,983
31377,45.801413361983826,eastus2,73
9780,238.9152527856327,eastus2,105
9529,32.63198777085584,swedencentral,380
61,33.91981087383546,southcentralus,948
45417,275.5608272436964,southcentralus,1438
31386,4.301491214175033,southcentralus,1109
31365,402.02120067970316,eastus2,824
9,305.82696442647847,eastus2,1302
15906,12.338990104035865,centralus,433
32539,0.0,centralus,886
9780,2188.145757251936,centralus,502
19075,2.1978668660410854,southcentralus,580
45942,252.0446673450473,eastus2,353
45417,277.1979707463568,centralus,577
33426,229.87938516614054,southcentralus,729
9,278.17748458407937,centralus,343
45472,873.3283205849881,swedencentral,513
31387,16.0,swedencentral,136
460,8.315806275372815,eastus2,1239
17,1391.0217488216688,swedencentral,591
24202,43.17563304706151,swedencentral,99
9,244.44737802801924,centralus,142
18,1743.8223315712162,swedencentral,7
15374,91.49286235971216,swedencentral,126
31387,14.049076319284161,centralus,680
17,1271.5636309061806,southcentralus,521
17,1278.5178693088133,swedencentral,909
31441,3.2230066402573314,centralus,1301
34398,33.8527949457193,centralus,922
18,368.7643943089406,southcentralus,807
31159,36.440989407974136,swedencentral,376
9812,0.0,swedencentral,1251
87,1.0,southcentralus,385
45417,261.4119654998509,swedencentral,412
15829,141.71443258508708,eastus2,884
49777,74.7872522402242,centralus,172
18,1772.925251237774,swedencentral,36
45417,284.16219096632216,eastus2,1254
33122,92.91088752085176,southcentralus,717
18,1556.6981278905735,southcentralus,414
45417,312.96561434019753,centralus,399
45417,314.56735782907583,swedencentral,812
52031,0.4209369508832541,centralus,1318
9337,532.9698265927548,centralus,1066
460,6.625423055262795,southcentralus,45
9,240.76591664131564,swedencentral,1376
45667,1.461025338246773,centralus,220
9780,50.21029706318481,southcentralus,577
15906,19.770024666107567,eastus2,1341
15848,80.9956703876244,southcentralus,1335
45417,277.2495291382969,eastus2,632
17,1259.8060900484436,centralus,586
9,372.01929296483405,eastus2,396
18,1150.627997892048,centralus,1164
9,29648.445735898185,swedencentral,335
31342,285.0944300766529,eastus2,338
17,1889.7470002649036,southcentralus,199
9792,26.67556548242704,swedencentral,1307
9,415.3871366345164,centralus,878
17434,2676.401513062538,southcentralus,1400
45417,272.04895357723564,eastus2,894
460,1.0,southcentralus,965
9780,105.01067412573275,southcentralus,170
45594,14.189741141561969,eastus2,41
45417,277.4347113852983,eastus2,586
33255,80.60148973469225,centralus,590
31386,2.0196427770014056,eastus2,793
24204,16.80657229671578,centralus,236
24204,32.86082557069935,centralus,127
31800,110.83709883362287,eastus2,904
9,238.7357054868021,swedencentral,1223
17,2296.10508962602,southcentralus,788
33262,287.63603148164344,swedencentral,226
61,25.807461160734288,southcentralus,1380
9811,8.459084745768475,eastus2,887
18,1690.4802291985131,eastus2,1226
24324,842.1940879888747,southcentralus,991
15562,1347.044209475505,eastus2,751
31386,8.878965796119445,centralus,734
24710,4500.975657990661,centralus,709
9,244.52330498355454,swedencentral,1101
18,1677.6683132999658,eastus2,136
33044,17.79742766596114,southcentralus,761
9358,77.69629839434653,centralus,66
15495,89.39256698211135,southcentralus,1163
24205,18.2711944410915,southcentralus,1208
1223,2.8554688240461017,swedencentral,1355
31387,14.162664640530412,swedencentral,658
45416,273.65731680685735,southcentralus,485
15434,112.91546099970947,southcentralus,111
45417,282.17377478496013,southcentralus,406
24204,23.03932854589617,eastus2,1285
32013,20.217017290295185,centralus,412
45417,269.6083130963488,swedencentral,275
9528,347.24172585146107,swedencentral,1291
45786,56.8285227111767,eastus2,380
18,1212.456983505715,southcentralus,223
9812,0.941538786037567,southcentralus,407
23980,16.9460970085441,centralus,373
18,2016.3604126957712,swedencentral,1396
157,175.52747751576146,southcentralus,1292
24406,7.663043597807989,swedencentral,593
17,1490.2071485757328,southcentralus,778
225,0.0,eastus2,918
17066,2.703348463720979,eastus2,397
45417,276.9212975919661,eastus2,598
45417,266.60119788679623,southcentralus,1272
18,2841.8695238848113,centralus,625
61,32.91208900593416,centralus,798
15463,25584.294138052006,swedencentral,962
15659,45.875334941061155,eastus2,1256
31387,16.61685826174902,eastus2,446
